Title,Cluster
1-s2.0-S0010854523004575-main,5
1-s2.0-S0011916423000565-main,2
1-s2.0-S0020025523010812-main,7
1-s2.0-S0196890416308366-main,0
1-s2.0-S019689042300016X-main,8
1-s2.0-S0196890423004247-main,2
1-s2.0-S030142072301334X-main,6
1-s2.0-S0301421514006661-main,7
1-s2.0-S0306261917302775-main,7
1-s2.0-S0306261917306207-main,0
1-s2.0-S0306261919309213-main,4
1-s2.0-S0306261923000260-main,8
1-s2.0-S0306261923015763-main,6
1-s2.0-S0360128523000023-main,2
1-s2.0-S0360319915005418-main,3
1-s2.0-S0360319922007066-main,3
1-s2.0-S0360319922041763-main,8
1-s2.0-S0360319922045244-main (1),3
1-s2.0-S0360319922057603-main,3
1-s2.0-S0360319922061481-main,3
1-s2.0-S0360319923016221-main,3
1-s2.0-S0360319923018086-main,8
1-s2.0-S0360544223030748-main,0
1-s2.0-S0926337323007002-main,5
1-s2.0-S0957582023001271-main,3
1-s2.0-S0960148116302865-main,7
1-s2.0-S0960148118303677-main,7
1-s2.0-S1342937X2300076X-main,6
1-s2.0-S1342937X23001144-main,6
1-s2.0-S1364032122000569-main,4
1-s2.0-S136403212200199X-main,7
1-s2.0-S1364032123007992-main,3
1-s2.0-S1364032123008213-main (1),4
1-s2.0-S1369702123002808-main,6
1-s2.0-S1385894722039705-main,5
1-s2.0-S1385894723040792-main,5
1-s2.0-S2211467X2200133X-main,8
1-s2.0-S2211467X24000166-main (1),2
1-s2.0-S2214993723000027-main,3
1-s2.0-S2352484722026762-main,2
1-s2.0-S2588842020300018-main,1
1-s2.0-S2590123023008368-main,1
1-s2.0-S2666278724000072-main,4
Advanced Energy Materials - 2018 - Chayambuka - Sodium‐Ion Battery Materials and Electrochemical Properties Reviewed,1
Advanced Materials - 2023 - Li - Arming Ru with Oxygen‐Vacancy‐Enriched RuO2 Sub‐Nanometer Skin Activates Superior,5
Angew Chem Int Ed - 2022 - Liu - Tuning Mass Transport in Electrocatalysis Down to Sub‐5 nm through Nanoscale Grade,5
atmosphere-14-00584-v2,8
d2cs00381c,5
Detection_of_False_Data_Injection_Attacks_in_Battery_Stacks_Using_Input_Noise-Aware_Nonlinear_State_Estimation_and_Cumulative_Sum_Algorithms,4
energies-15-00429 (1),4
energies-16-00280,8
Green innovation  foreign investment and carbon emissions  a roadmap to sustainable development via green energy and energy efficiency for BRICS econo,6
huang-et-al-2022-bacterial-growth-induced-tobramycin-smart-release-self-healing-hydrogel-for-pseudomonas-aeruginosa,6
IET Smart Grid - 2024 - AhmadiAhangar - Impacts of grid‐scale battery systems on power system operation  case of Baltic,0
Maraschky_2023_J._Electrochem._Soc._170_066504,1
Model_Predictive_Current_Control_of_Nine-Phase_Open-End_Winding_PMSMs_With_an_Online_Virtual_Vector_Synthesis_Strategy,2
Optimal_Prediction_Intervals_of_Wind_Power_Generation,7
Performance_Evaluation_Of_Grid-scale_Battery_Energy_Storage_System_Employing_Virtual_Synchronous_Generator_Control_For_Grid_Code_Compliance_In_Weak_Grids,4
PIIS2405844024058729,4
Process Safety Progress - 2023 - Goldsmith - Introduction to grid‐scale battery energy storage system concepts and fire,1
Real-Time_Energy_Storage_Management_for_Renewable_Integration_in_Microgrid_An_Off-Line_Optimization_Approach,0
s10311-023-01591-5,8
s12011-023-03645-9,2
s12274-023-6037-8(1),5
s12274-023-6037-8,5
s40565-016-0238-z,1
s41560-020-0550-8 (2),3
science.ade1499,5
sensors-21-01397-v3,1
Small - 2019 - Pu - Recent Progress in Rechargeable Sodium‐Ion Batteries  toward High‐Power Applications,1
Small - 2023 - Li - Defective TiO2 x for High‐Performance Electrocatalytic NO Reduction toward Ambient NH3 Production,5
State-of-Charge_Balancing_Control_for_ON_OFF-Line_Internal_Cells_Using_Hybrid_Modular_Multi-Level_Converter_and_Parallel_Modular_Dual_L-Bridge_in_a_Grid-Scale_Battery_Energy_Storage_System,2
sustainability-15-00439,2
sustainability-15-01418-v2,2
sustainability-15-15032,4
turney-et-al-2017-rechargeable-zinc-alkaline-anodes-for-long-cycle-energy-storage,1
Voltage_Sensorless_Based_Model_Predictive_Control_With_Battery_Management_System_For_Solar_PV_Powered_On-Board_EV_Charging,2
wang-et-al-2023-the-impact-of-economic-corridor-and-tourism-on-local-community-s-quality-of-life-under-one-belt-one,6
yang-et-al-2022-potential-driven-restructuring-of-cu-single-atoms-to-nanoparticles-for-boosting-the-electrochemical,5
